"Gene stable ID","Strand","Gene end (bp)","Gene start (bp)","Chromosome/scaffold name","Gene name"
"ENSG00000276154",1,54848602,54832687,"CHR_HSCHR19KIR_LUCE_A_HAP_CTG3_1","KIR2DS4"
"ENSG00000149633",-1,38260772,38210503,"20","KIAA1755"
"ENSG00000174132",1,100586741,100535374,"5","FAM174A"
"ENSG00000176399",1,22455740,22446824,"9","DMRTA1"
"ENSG00000265972",-1,145996579,145992435,"1","TXNIP"
"ENSG00000177685",1,831991,826144,"11","CRACR2B"
"ENSG00000166311",1,6394998,6390440,"11","SMPD1"
"ENSG00000164604",-1,113087778,113078331,"7","GPR85"
"ENSG00000206457",-1,31150652,31134861,"CHR_HSCHR6_MHC_QBL_CTG1","CCHCR1"
"ENSG00000121390",-1,19783019,19674752,"13","PSPC1"
"ENSG00000105647",1,18170532,18153163,"19","PIK3R2"
"ENSG00000149243",-1,75430629,75422394,"11","KLHL35"
"ENSG00000101425",1,38337505,38304150,"20","BPI"
"ENSG00000235107",1,33366606,33362379,"CHR_HSCHR6_MHC_MANN_CTG1","RING1"
"ENSG00000146858",-1,139036042,139025706,"7","ZC3HAV1L"
"ENSG00000163811",1,28948219,28894667,"2","WDR43"
"ENSG00000149527",1,2505532,2425980,"1","PLCH2"
"ENSG00000153015",1,65018750,64768930,"5","CWC27"
"ENSG00000159403",-1,7092540,7080214,"12","C1R"
"ENSG00000223533",-1,31203155,31187361,"CHR_HSCHR6_MHC_MANN_CTG1","CCHCR1"
"ENSG00000172236",1,1242554,1240705,"16","TPSAB1"
"ENSG00000268173",1,18178117,18153158,"19","AC007192.1"
"ENSG00000126934",-1,4124129,4090321,"19","MAP2K2"
"ENSG00000138029",1,26290465,26243170,"2","HADHB"
"ENSG00000048740",1,11336675,10798397,"10","CELF2"
"ENSG00000276583",1,195741123,195720882,"CHR_HSCHR3_1_CTG3","MUC20"
"ENSG00000214194",-1,113118560,113116718,"7","SMIM30"
"ENSG00000146909",1,156973176,156949712,"7","NOM1"
"ENSG00000072062",-1,14118084,14091688,"19","PRKACA"
"ENSG00000075891",1,100829941,100735603,"10","PAX2"
"ENSG00000273761",-1,94081245,94050920,"CHR_HSCHR14_7_CTG1","DDX24"
"ENSG00000164638",1,5306870,5274369,"7","SLC29A4"
"ENSG00000013288",1,6623362,6575189,"4","MAN2B2"
"ENSG00000112739",1,4064983,4021267,"6","PRPF4B"
"ENSG00000066230",-1,524449,470456,"5","SLC9A3"
"ENSG00000276196",1,54744341,54732699,"CHR_HSCHR19_4_CTG3_1","KIR3DL3"
"ENSG00000234284",1,179035064,179023804,"5","ZNF879"
"ENSG00000167037",1,24927578,24806169,"22","SGSM1"
"ENSG00000167355",-1,5505652,5303444,"11","OR51B5"
"ENSG00000119411",1,113371233,113349541,"9","BSPRY"
"ENSG00000143036",1,94895246,94820342,"1","SLC44A3"
"ENSG00000173218",1,115698224,115641970,"1","VANGL1"
"ENSG00000177932",1,179083977,179060373,"5","ZNF354C"
"ENSG00000085511",1,161117385,160991727,"6","MAP3K4"
"ENSG00000119431",-1,113376999,113373419,"9","HDHD3"
"ENSG00000180988",1,5821348,5820314,"11","OR52N2"
"ENSG00000234507",1,32903839,32890988,"CHR_HSCHR6_MHC_COX_CTG1","BRD2"
"ENSG00000213934",-1,5249859,5248079,"11","HBG1"
"ENSG00000130675",-1,157010663,156994051,"7","MNX1"
"ENSG00000182095",-1,5425414,5306790,"7","TNRC18"
"ENSG00000184584",-1,139482935,139475533,"5","STING1"
"ENSG00000115828",1,37373322,37342827,"2","QPCT"
"ENSG00000164074",1,128039927,127965306,"4","ABHD18"
"ENSG00000181609",1,5489749,5488685,"11","OR52D1"
"ENSG00000172538",-1,49134008,49131154,"10","FAM170B"
"ENSG00000176239",1,5352446,5351508,"11","OR51B6"
"ENSG00000030304",1,110806558,110668779,"9","MUSK"
"ENSG00000180974",1,5887079,5880629,"11","OR52E4"
"ENSG00000196277",1,7741533,6770001,"3","GRM7"
"ENSG00000187747",1,5581884,5580877,"11","OR52B6"
"ENSG00000181616",-1,5548533,5544489,"11","OR52H1"
"ENSG00000223618",-1,33405839,33404140,"CHR_HSCHR6_MHC_MANN_CTG1","VPS52"
"ENSG00000213931",-1,5505652,5268345,"11","HBE1"
"ENSG00000171234",1,69112987,69051363,"4","UGT2B7"
"ENSG00000228913",-1,29556525,29552212,"CHR_HSCHR6_MHC_COX_CTG1","UBD"
"ENSG00000124383",1,71150101,71130632,"2","MPHOSPH10"
"ENSG00000180104",1,471937,443175,"5","EXOC3"
"ENSG00000229185",1,29585637,29584054,"CHR_HSCHR6_MHC_COX_CTG1","OR2H2"
"ENSG00000188486",-1,119095467,119093854,"11","H2AX"
"ENSG00000186881",1,104505222,104504263,"9","OR13F1"
"ENSG00000148136",-1,104527209,104526253,"9","OR13C4"
"ENSG00000204246",-1,104536856,104535749,"9","OR13C3"
"ENSG00000132970",1,26688948,26557683,"13","WASF3"
"ENSG00000091009",1,146289223,146203605,"5","RBM27"
"ENSG00000204161",-1,49188585,49154725,"10","TMEM273"
"ENSG00000137177",-1,17987635,17759183,"6","KIF13A"
"ENSG00000196569",1,129516569,128883141,"6","LAMA2"
"ENSG00000196565",-1,5505605,5253188,"11","HBG2"
"ENSG00000145975",-1,4087344,4049434,"6","FAM217A"
"ENSG00000100592",1,59371405,59188646,"14","DAAM1"
"ENSG00000087116",-1,179345461,179110853,"5","ADAMTS2"
"ENSG00000206510",-1,29681010,29672300,"CHR_HSCHR6_MHC_QBL_CTG1","ZFP57"
"ENSG00000183251",-1,5301946,5301014,"11","OR51B4"
"ENSG00000182272",1,382117,369499,"11","B4GALNT4"
"ENSG00000143365",-1,151831845,151806071,"1","RORC"
"ENSG00000275740",1,146339251,146203550,"5","AC091959.3"
"ENSG00000275326",1,168865516,168831472,"CHR_HSCHR2_1_CTG7_2","NOSTRIN"
"ENSG00000132256",-1,5938619,5663195,"11","TRIM5"
"ENSG00000183579",1,29057488,28883572,"22","ZNRF3"
"ENSG00000091010",1,146341728,146338839,"5","POU4F3"
"ENSG00000133114",1,45037669,44989529,"13","GPALPP1"
"ENSG00000085733",1,70436584,70398404,"11","CTTN"
"ENSG00000115257",-1,1490752,1481428,"19","PCSK4"
"ENSG00000185689",1,4130951,4079206,"6","C6orf201"
"ENSG00000168152",1,82919969,82900684,"4","THAP9"
"ENSG00000133318",1,63759891,63681446,"11","RTN3"
"ENSG00000107560",-1,118046941,118004916,"10","RAB11FIP2"
"ENSG00000274410",1,54761251,54746721,"CHR_HSCHR19_4_CTG3_1","KIR2DL3"
"ENSG00000239900",1,40390463,40346500,"22","ADSL"
"ENSG00000278522",-1,21440451,21408243,"15","POTEB3"
"ENSG00000083635",-1,44989471,44939249,"13","NUFIP1"
"ENSG00000168067",-1,64803241,64784918,"11","MAP4K2"
"ENSG00000059804",-1,7936187,7919230,"12","SLC2A3"
"ENSG00000006016",-1,18607741,18572220,"19","CRLF1"
"ENSG00000119616",1,74738620,74713144,"14","FCF1"
"ENSG00000115760",1,32618899,32357028,"2","BIRC6"
"ENSG00000132631",1,18814378,18813783,"20","SCP2D1"
"ENSG00000198721",-1,4135597,4115689,"6","ECI2"
"ENSG00000241370",1,30346884,30345131,"6","RPP21"
"ENSG00000215252",-1,34588503,34525207,"15","GOLGA8B"
"ENSG00000006015",1,18592336,18588685,"19","REX1BD"
"ENSG00000232280",-1,30732592,30717565,"CHR_HSCHR6_MHC_COX_CTG1","FLOT1"
"ENSG00000276459",1,54753028,54738512,"CHR_HSCHR19KIR_LUCE_A_HAP_CTG3_1","KIR2DL3"
"ENSG00000213171",-1,151806154,151800264,"1","LINGO4"
"ENSG00000234154",-1,32875441,32856943,"CHR_HSCHR6_MHC_COX_CTG1","HLA-DMB"
"ENSG00000168675",1,13652755,13217498,"18","LDLRAD4"
"ENSG00000274639",1,54736534,54724479,"CHR_HSCHR19KIR_LUCE_A_HAP_CTG3_1","KIR3DL3"
"ENSG00000186943",1,104570130,104569168,"9","OR13C8"
"ENSG00000183401",1,11354944,11344684,"19","CCDC159"
"ENSG00000198492",1,28769775,28736621,"1","YTHDF2"
"ENSG00000277556",-1,104599413,104598457,"9","OR13C5"
"ENSG00000276119",-1,104605627,104604671,"9","OR13C2"
"ENSG00000221983",1,18577550,18571730,"19","UBA52"
"ENSG00000136839",-1,104618204,104617248,"9","OR13C9"
"ENSG00000105202",-1,39846379,39834458,"19","FBL"
"ENSG00000177354",1,49327492,49299170,"10","C10orf71"
"ENSG00000181264",1,120333682,120325129,"11","TLCD5"
"ENSG00000005471",-1,87480435,87401697,"7","ABCB4"
"ENSG00000181001",-1,5791265,5786471,"11","OR52N1"
"ENSG00000170445",-1,140691537,140673904,"5","HARS1"
"ENSG00000243719",-1,32893044,32870929,"CHR_HSCHR6_MHC_COX_CTG1","HLA-DMA"
"ENSG00000279012",-1,5324297,5323359,"11","OR51B2"
"ENSG00000115977",-1,69674349,69457997,"2","AAK1"
"ENSG00000277932",1,5902730,5893208,"11","OR52E5"
"ENSG00000248167",1,30346854,30328907,"6","TRIM39-RPP21"
"ENSG00000169629",-1,112434488,112368369,"2","RGPD8"
"ENSG00000116329",1,28871267,28812142,"1","OPRD1"
"ENSG00000184698",1,5393263,5383812,"11","OR51M1"
"ENSG00000275511",1,54881045,54864251,"CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1","KIR3DL2"
"ENSG00000277909",-1,168930360,168834132,"CHR_HSCHR2_1_CTG7_2","SPC25"
"ENSG00000258588",1,5644398,5596725,"11","TRIM6-TRIM34"
"ENSG00000204599",1,30343729,30326479,"6","TRIM39"
"ENSG00000049759",1,58401540,58044226,"18","NEDD4L"
"ENSG00000095917",1,1259008,1256059,"16","TPSD1"
"ENSG00000169507",-1,164955525,164896186,"2","SLC38A11"
"ENSG00000206069",-1,24946695,24934954,"22","TMEM211"
"ENSG00000188167",-1,33097146,33090421,"3","TMPPE"
"ENSG00000278373",1,168926984,168918229,"CHR_HSCHR2_1_CTG7_2","G6PC2"
"ENSG00000120158",1,4885917,4792944,"9","RCL1"
"ENSG00000159674",-1,1208962,1166932,"4","SPON2"
"ENSG00000131626",1,70385312,70270700,"11","PPFIA1"
"ENSG00000167359",-1,5441514,5440570,"11","OR51I1"
"ENSG00000170266",-1,33097202,32996609,"3","GLB1"
"ENSG00000137474",1,77215241,77128246,"11","MYO7A"
"ENSG00000181023",1,5738523,5736448,"11","OR56B1"
"ENSG00000170160",1,16777881,16689537,"17","CCDC144A"
"ENSG00000172296",1,13169103,13008972,"20","SPTLC3"
"ENSG00000275521",1,54910036,54906121,"CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1","NCR1"
"ENSG00000205409",-1,5841952,5840928,"11","OR52E6"
"ENSG00000130167",1,11326996,11296139,"19","TSPAN16"
"ENSG00000162384",-1,53220634,53214099,"1","CZIB"
"ENSG00000105866",1,21514822,21428043,"7","SP4"
"ENSG00000258659",1,5644398,5619764,"11","TRIM34"
"ENSG00000015676",-1,44490658,44379119,"7","NUDCD3"
"ENSG00000180530",-1,15065936,14961235,"21","NRIP1"
"ENSG00000157184",1,53214197,53196792,"1","CPT2"
"ENSG00000090565",1,523011,425649,"16","RAB11FIP3"
"ENSG00000099998",-1,24245142,24219654,"22","GGT5"
"ENSG00000175785",-1,93788485,93718298,"14","PRIMA1"
"ENSG00000100249",-1,29061844,29058672,"22","C22orf31"
"ENSG00000183269",-1,5857734,5856674,"11","OR52E8"
"ENSG00000105518",-1,11346518,11342776,"19","TMEM205"
"ENSG00000284931",-1,5254783,5248270,"11","AC104389.6"
"ENSG00000158691",-1,28399734,28378955,"6","ZSCAN12"
"ENSG00000152291",-1,85328296,85318020,"2","TGOLN2"
"ENSG00000153253",-1,165204067,165087522,"2","SCN3A"
"ENSG00000167360",1,5423206,5422111,"11","OR51Q1"
"ENSG00000196975",1,69827112,69644425,"2","ANXA4"
"ENSG00000187918",1,5456518,5449323,"11","OR51I2"
"ENSG00000175497",1,115845780,114442299,"2","DPP10"
"ENSG00000239920",-1,5678434,5254392,"11","AC104389.5"
"ENSG00000115705",1,1543711,1374066,"2","TPO"
"ENSG00000273603",1,54862123,54847887,"CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1","GU182355.1"
"ENSG00000276880",1,94103846,94081282,"CHR_HSCHR14_7_CTG1","IFI27L1"
"ENSG00000275608",1,54817473,54802886,"CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1","GU182355.4"
"ENSG00000149300",1,111926871,111918032,"11","C11orf52"
"ENSG00000181009",-1,5783355,5776165,"11","OR52N5"
"ENSG00000105696",1,18621039,18607430,"19","TMEM59L"
"ENSG00000124155",1,45456934,45416084,"20","PIGT"
"ENSG00000106355",-1,32495283,32485338,"7","LSM5"
"ENSG00000175520",-1,5509958,5507300,"11","UBQLN3"
"ENSG00000170276",1,111914093,111912734,"11","HSPB2"
"ENSG00000254445",1,111926871,111912736,"11","HSPB2-C11orf52"
"ENSG00000135333",-1,93419559,93240020,"6","EPHA7"
"ENSG00000185666",-1,33058381,32507820,"22","SYN3"
"ENSG00000113494",-1,35230487,35048756,"5","PRLR"
"ENSG00000266302",1,16804453,16690261,"17","AC098850.3"
"ENSG00000176986",1,73772161,73744372,"10","SEC24C"
"ENSG00000153790",-1,25180356,25134692,"7","C7orf31"
"ENSG00000109846",-1,111923722,111908564,"11","CRYAB"
"ENSG00000278503",1,54792334,54778013,"CHR_HSCHR19_4_CTG3_1","KIR2DL1"
"ENSG00000176302",1,118981287,118971712,"11","FOXR1"
"ENSG00000127054",-1,1324691,1311585,"1","INTS11"
"ENSG00000105514",-1,11346270,11322068,"19","RAB3D"
"ENSG00000196588",-1,40636719,40410281,"22","MRTFA"
"ENSG00000124207",1,49096960,49046246,"20","CSE1L"
"ENSG00000187987",-1,28443502,28431930,"6","ZSCAN23"
"ENSG00000150316",-1,94973586,94962620,"11","CWC15"
"ENSG00000179055",1,104695485,104694379,"9","OR13D1"
"ENSG00000274036",1,54838980,54824676,"CHR_HSCHR19_4_CTG3_1","KIR3DL1"
"ENSG00000100234",1,32863043,32801701,"22","TIMP3"
"ENSG00000136783",1,104760120,104747683,"9","NIPSNAP3A"
"ENSG00000119906",1,100965134,100912963,"10","SLF2"
"ENSG00000106049",-1,27662883,27525442,"7","HIBADH"
"ENSG00000129347",-1,10566031,10553085,"19","KRI1"
"ENSG00000273498",1,54800938,54789862,"CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1","KIR2DL4"
"ENSG00000227420",1,30616238,30607552,"CHR_HSCHR6_MHC_COX_CTG1","MRPS18B"
"ENSG00000175550",1,65921563,65919274,"11","DRAP1"
"ENSG00000106003",1,2529177,2512529,"7","LFNG"
"ENSG00000230108",1,31569081,31566312,"CHR_HSCHR6_MHC_SSTO_CTG1","TNF"
"ENSG00000114999",1,112541739,112482156,"2","TTL"
"ENSG00000204487",-1,31569928,31567961,"CHR_HSCHR6_MHC_COX_CTG1","LTB"
"ENSG00000274480",1,54736514,54724486,"CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1","KIR3DL3"
"ENSG00000283071",1,103090027,103084210,"14","LBHD2"
"ENSG00000198242",1,28724359,28719985,"17","RPL23A"
"ENSG00000167741",-1,4560818,4556927,"17","GGT6"
"ENSG00000181026",1,88632281,88621337,"15","AEN"
"ENSG00000230995",-1,30608455,30590243,"CHR_HSCHR6_MHC_COX_CTG1","PPP1R10"
"ENSG00000165028",1,104777764,104764129,"9","NIPSNAP3B"
"ENSG00000124532",1,24426194,24402908,"6","MRS2"
"ENSG00000173673",1,6245578,6244179,"1","HES3"
"ENSG00000168509",-1,146036746,146017468,"1","HJV"
"ENSG00000178234",1,152122340,152025674,"7","GALNT11"
"ENSG00000205436",1,103110559,103100144,"14","EXOC3L4"
"ENSG00000275452",1,54769226,54738501,"CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1","KIR2DS2"
"ENSG00000238114",-1,31573267,31571300,"CHR_HSCHR6_MHC_SSTO_CTG1","LTB"
"ENSG00000196968",1,73780251,73772276,"10","FUT11"
"ENSG00000183762",1,29168333,29073078,"22","KREMEN1"
"ENSG00000115255",1,1497927,1491166,"19","REEP6"
"ENSG00000197586",1,25228075,25195693,"20","ENTPD6"
"ENSG00000160606",-1,28727935,28724348,"17","TLCD1"
"ENSG00000141034",1,18068405,18039408,"17","GID4"
"ENSG00000152926",-1,65006684,64971772,"7","ZNF117"
"ENSG00000140067",1,93929608,93918894,"14","FAM181A"
"ENSG00000275047",1,54845947,54830927,"CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1","GU182355.2"
"ENSG00000278277",1,54784697,54771294,"CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1","GU182355.7"
"ENSG00000187240",1,103479863,103109410,"11","DYNC2H1"
"ENSG00000275596",1,54828970,54819506,"CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1","GU182355.3"
"ENSG00000224941",1,31209123,31203494,"CHR_HSCHR6_MHC_MANN_CTG1","TCF19"
"ENSG00000128610",-1,122310691,122301303,"7","FEZF1"
"ENSG00000213462",-1,65006743,64990356,"7","ERV3-1"
"ENSG00000184363",1,404908,392614,"11","PKP3"
"ENSG00000188223",1,35754519,35745678,"19","AD000671.1"
"ENSG00000160602",1,28743455,28725897,"17","NEK8"
"ENSG00000188070",-1,63768775,63759892,"11","C11orf95"
"ENSG00000277101",1,154261004,154121003,"CHR_HSCHR3_2_CTG2_1","ARHGEF26"
"ENSG00000169397",1,20892348,20891399,"14","RNASE3"
"ENSG00000267796",1,35754519,35748361,"19","LIN37"
"ENSG00000121903",1,33496507,33472645,"1","ZSCAN20"
"ENSG00000071127",-1,10116949,10074339,"4","WDR1"
"ENSG00000165125",-1,142885745,142871208,"7","TRPV6"
"ENSG00000163171",-1,37738468,37641882,"2","CDC42EP3"
"ENSG00000277725",1,54769000,54754632,"CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1","KIR2DL2"
"ENSG00000134762",-1,31042815,30989365,"18","DSC3"
"ENSG00000080839",-1,37095997,36996349,"20","RBL1"
"ENSG00000110888",-1,30754951,30709552,"12","CAPRIN2"
"ENSG00000172269",-1,119108331,119096503,"11","DPAGT1"
"ENSG00000029363",-1,136289851,136256627,"6","BCLAF1"
"ENSG00000198121",-1,111038458,110873263,"9","LPAR1"
"ENSG00000205155",1,35747519,35745600,"19","PSENEN"
"ENSG00000116754",1,70253052,70205682,"1","SRSF11"
"ENSG00000107105",-1,23826337,23690104,"9","ELAVL2"
"ENSG00000130734",1,10553418,10543895,"19","ATG4D"
"ENSG00000112294",1,24537207,24494867,"6","ALDH5A1"
"ENSG00000275118",-1,54190413,54173853,"CHR_HSCHR19_4_CTG3_1","MBOAT7"
"ENSG00000276971",-1,142946922,142932365,"CHR_HSCHR7_2_CTG6","TRPV6"
"ENSG00000137841",-1,40307935,40278176,"15","PLCB2"
"ENSG00000116205",1,54112519,54053584,"1","TCEANC2"
"ENSG00000256453",-1,140673576,140670794,"5","DND1"
"ENSG00000182974",1,21638992,21637909,"15","AC135068.1"
"ENSG00000148737",1,113167678,112950247,"10","TCF7L2"
"ENSG00000120314",1,140674124,140664676,"5","WDR55"
"ENSG00000276423",1,54817155,54802859,"CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1","KIR3DL1"
"ENSG00000280709",1,21653276,21552795,"15","LINC02203"
"ENSG00000279408",1,21652968,21651844,"15","AC135068.3"
"ENSG00000159692",-1,1249953,1211448,"4","CTBP1"
"ENSG00000284431",1,40410054,40346529,"22","AL022238.4"
"ENSG00000275395",-1,39934626,39863323,"19","FCGBP"
"ENSG00000276072",1,37058704,36950708,"CHR_HSCHR17_7_CTG4","AATF"
"ENSG00000100359",1,40410289,40370591,"22","SGSM3"
"ENSG00000125875",-1,462543,435480,"20","TBC1D20"
"ENSG00000112855",1,140699305,140691430,"5","HARS2"
"ENSG00000125888",1,17735871,17693672,"20","BANF2"
"ENSG00000275237",1,54800893,54789912,"CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1","KIR2DL4"
"ENSG00000169385",1,20956436,20955487,"14","RNASE2"
"ENSG00000015568",1,109857705,109792758,"2","RGPD5"
"ENSG00000188176",1,4608319,4583999,"17","SMTNL2"
"ENSG00000009335",1,157269370,157138916,"7","UBE3C"
"ENSG00000172554",1,1367613,950849,"2","SNTG2"
"ENSG00000168158",1,3357306,3355889,"16","OR2C1"
"ENSG00000130177",1,114272723,114234887,"13","CDC16"
"ENSG00000274232",1,54822719,54811737,"CHR_HSCHR19_4_CTG3_1","KIR2DL4"
"ENSG00000274610",1,54784662,54771258,"CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1","KIR3DP1"
"ENSG00000172375",1,119118544,119102198,"11","C2CD2L"
"ENSG00000105954",-1,25228486,25224570,"7","NPVF"
"ENSG00000136235",1,23275108,23235967,"7","GPNMB"
"ENSG00000244588",1,1296421,1226056,"20","RAD21L1"
"ENSG00000215695",1,15661722,15659869,"1","RSC1A1"
"ENSG00000040275",1,169604778,169583636,"5","SPDL1"
"ENSG00000197312",1,15669044,15617458,"1","DDI2"
"ENSG00000205442",-1,24545946,24542952,"9","IZUMO3"
"ENSG00000093072",-1,17258235,17178790,"22","ADA2"
"ENSG00000112293",-1,24495205,24424565,"6","GPLD1"
"ENSG00000237765",1,15705565,15681662,"4","FAM200B"
"ENSG00000213759",-1,69214748,69199951,"4","UGT2B11"
"ENSG00000164620",1,141641064,141636950,"5","RELL2"
"ENSG00000226979",1,31574324,31572054,"6","LTA"
"ENSG00000165606",-1,49396016,49364181,"10","DRGX"
"ENSG00000198680",-1,25678440,25676389,"9","TUSC1"
"ENSG00000143543",-1,153977674,153974269,"1","JTB"
"ENSG00000101298",1,1309328,1266280,"20","SNPH"
"ENSG00000112096",-1,159745186,159669069,"6","SOD2"
"ENSG00000004776",-1,35758079,35754566,"19","HSPB6"
"ENSG00000112763",1,26476621,26457904,"6","BTN2A1"
"ENSG00000088280",-1,23484568,23428563,"1","ASAP3"
"ENSG00000091136",-1,108003187,107923799,"7","LAMB1"
"ENSG00000197948",-1,141651418,141639302,"5","FCHSD1"
"ENSG00000172987",-1,99235862,98457077,"10","HPSE2"
"ENSG00000225830",-1,49539538,49454470,"10","ERCC6"
"ENSG00000274722",1,54853592,54836820,"CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1","KIR3DL2"
"ENSG00000127863",1,23676104,23570370,"13","TNFRSF19"
"ENSG00000146021",-1,137736089,137617500,"5","KLHL3"
"ENSG00000168769",1,105279816,105145875,"4","TET2"
"ENSG00000235307",1,33122227,33059372,"CHR_HSCHR6_MHC_SSTO_CTG1","BRD2"
"ENSG00000143578",1,153974361,153967534,"1","CREB3L4"
"ENSG00000225556",-1,151840557,151837819,"1","C2CD4D"
"ENSG00000159248",-1,34754998,34751032,"15","GJD2"
"ENSG00000196407",-1,151853712,151847101,"1","THEM5"
"ENSG00000230336",-1,31215620,31209245,"CHR_HSCHR6_MHC_MANN_CTG1","POU5F1"
"ENSG00000159251",-1,34795549,34790230,"15","ACTC1"
"ENSG00000148688",1,90908553,90871716,"10","RPP30"
"ENSG00000179299",1,40811184,40749925,"4","NSUN7"
"ENSG00000155066",1,95291308,95274449,"2","PROM2"
"ENSG00000106009",-1,2555694,2537810,"7","BRAT1"
"ENSG00000198791",-1,17246878,17224966,"8","CNOT7"
"ENSG00000122477",-1,100178273,100148449,"1","LRRC39"
"ENSG00000278692",1,54769262,54754729,"CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1","GU182355.8"
"ENSG00000109743",1,15738313,15703065,"4","BST1"
"ENSG00000197077",1,25197448,24952730,"22","KIAA1671"
"ENSG00000018699",1,32821051,32628032,"2","TTC27"
"ENSG00000122435",1,100150498,100133150,"1","TRMT13"
"ENSG00000163697",-1,41216714,40810027,"4","APBB2"
"ENSG00000120438",-1,159789703,159778498,"6","TCP1"
"ENSG00000049192",-1,65481920,65148738,"5","ADAMTS6"
"ENSG00000100218",-1,23145021,23059415,"22","RSPH14"
"ENSG00000168005",1,63827716,63813456,"11","SPINDOC"
"ENSG00000177156",1,765012,747415,"11","TALDO1"
"ENSG00000146007",1,140706686,140698680,"5","ZMAT2"
"ENSG00000091140",1,107931730,107891162,"7","DLD"
"ENSG00000110619",-1,3057613,3000922,"11","CARS1"
"ENSG00000172586",1,73783652,73782047,"10","CHCHD1"
"ENSG00000128266",1,23125032,23070519,"22","GNAZ"
"ENSG00000079689",1,25701783,25652201,"6","SCGN"
"ENSG00000197603",-1,37249428,37106228,"5","CPLANE1"
"ENSG00000113532",-1,100903282,100806933,"5","ST8SIA4"
"ENSG00000105649",-1,18204042,18196784,"19","RAB3A"
"ENSG00000146085",-1,49463253,49430360,"6","MMUT"
"ENSG00000179270",-1,29074523,29060976,"2","PCARE"
"ENSG00000189350",1,29061373,28956611,"2","TOGARAM2"
"ENSG00000254858",1,18196948,18193218,"19","MPV17L2"
"ENSG00000101311",-1,6123544,6074845,"20","FERMT1"
"ENSG00000172183",1,88656483,88636153,"15","ISG20"
"ENSG00000243215",-1,33061428,33039313,"CHR_HSCHR6_MHC_SSTO_CTG1","HLA-DMA"
"ENSG00000136936",-1,97697357,97674909,"9","XPA"
"ENSG00000145536",1,5320304,5140330,"5","ADAMTS16"
"ENSG00000135226",1,69295050,69280475,"4","UGT2B28"
"ENSG00000230778",-1,40282586,40281444,"15","ANKRD63"
"ENSG00000232810",1,31578336,31575565,"6","TNF"
"ENSG00000115380",-1,55924139,55865967,"2","EFEMP1"
"ENSG00000188342",1,45284893,45120510,"13","GTF2F2"
"ENSG00000154415",-1,114075920,113876777,"7","PPP1R3A"
"ENSG00000158292",-1,6261098,6247353,"1","GPR153"
"ENSG00000214944",1,73941993,73626158,"5","ARHGEF28"
"ENSG00000118564",-1,15681679,15604381,"4","FBXL5"
"ENSG00000060566",1,4173054,4153631,"19","CREB3L3"
"ENSG00000143545",-1,153986358,153981617,"1","RAB13"
"ENSG00000013275",1,39981764,39971165,"19","PSMC4"
"ENSG00000243335",1,66649067,66628767,"7","KCTD7"
"ENSG00000206455",1,31156655,31150981,"CHR_HSCHR6_MHC_QBL_CTG1","TCF19"
"ENSG00000180332",-1,45194717,45192853,"13","KCTD4"
"ENSG00000179010",1,6642745,6640091,"4","MRFAP1"
"ENSG00000241296",-1,33043825,33025327,"CHR_HSCHR6_MHC_SSTO_CTG1","HLA-DMB"
"ENSG00000015520",-1,44541315,44512535,"7","NPC1L1"
"ENSG00000101230",1,13300651,13221274,"20","ISM1"
"ENSG00000119946",1,99394330,99329356,"10","CNNM1"
"ENSG00000173467",-1,16881987,16859412,"7","AGR3"
"ENSG00000164508",-1,25726527,25726132,"6","H2AC1"
"ENSG00000136147",1,49528981,49495610,"13","PHF11"
"ENSG00000146047",1,25727292,25726777,"6","H2BC1"
"ENSG00000275735",1,54752855,54738547,"CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1","GU182355.5"
"ENSG00000214655",1,73801797,73785582,"10","ZSWIM8"
"ENSG00000120437",1,159779112,159762045,"6","ACAT2"
"ENSG00000154710",1,66811464,66682164,"7","RABGEF1"
"ENSG00000285779",-1,153975887,153959151,"1","AL358472.7"
"ENSG00000276086",1,54736671,54724481,"CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1","KIR3DL3"
"ENSG00000143570",-1,153968184,153959099,"1","SLC39A1"
"ENSG00000124374",-1,71227103,71182738,"2","PAIP2B"
"ENSG00000150764",1,112022653,111927144,"11","DIXDC1"
"ENSG00000206488",1,30636318,30616337,"CHR_HSCHR6_MHC_QBL_CTG1","ATAT1"
